title,area,detailplace,square,position,roomtype,price
整租·倾城酒店 1室0厅 西南,越秀,盘福,56.01,西,1室0厅1卫,3500
整租·番禺华景新城 3室2厅 南,番禺,桥南,86.6,南,3室2厅2卫,2000
整租·黄埔中央城 3室2厅 南,黄埔,香雪,102.09,南,3室2厅2卫,3500
整租·珠江帝景苑 5室2厅 西北,海珠,广州塔,197.0,西,5室2厅3卫,13000
整租·敏捷绿湖首府二期 3室2厅 南,增城,石滩镇,122.0,南,3室2厅2卫,1300
整租·环市东路 2室2厅 南,越秀,环市东,81.0,南,2室2厅1卫,4000
整租·实地蔷薇国际 3室2厅 南,增城,荔城西区,114.0,南,3室2厅2卫,1800
整租·实地常春藤 3室2厅 东南,黄埔,黄埔永和,99.0,东,3室2厅2卫,2500
整租·碧桂园凤凰城凤妍苑 3室2厅 南,增城,凤凰城,100.0,南,3室2厅1卫,2000
整租·祈福新村A区 4室2厅 南,番禺,祈福新村,192.0,南,4室2厅3卫,8000
整租·保利中航城二期 4室2厅 南,增城,朱村,108.8,南,4室2厅2卫,2800
整租·中广大厦 2室1厅 西北,海珠,江南大道中,87.0,西,2室1厅1卫,4500
整租·招商臻园 4室2厅 南,增城,新塘北,126.74,南,4室2厅2卫,3600
整租·时尚广场 3室2厅 南/北,增城,新塘北,120.22,南,3室2厅2卫,2800
整租·光大花园榕城尚品公寓 1室1厅 东南,海珠,工业大道北,39.34,东,1室1厅1卫,1750
整租·实地蔷薇国际 4室2厅 南,增城,荔城西区,117.0,南,4室2厅2卫,1600
整租·叠溪花园 3室2厅 南,增城,朱村,93.0,南,3室2厅2卫,1800
整租·碧桂园海湾1号 1室0厅 南,南沙,南沙港,15.0,南,1室0厅0卫,180
整租·南沙湾东苑 4室2厅 南/北,南沙,南沙港,147.0,南,4室2厅2卫,3200
整租·万科元培里 3室2厅 南,黄埔,科学城,93.55,南,3室2厅2卫,3000
整租·奥园莲峰圣境 4室2厅 南,番禺,莲花山,173.0,南,4室2厅3卫,4500
整租·荔城花园 3室2厅 东,增城,荔城西区,131.0,东,3室2厅2卫,2100
整租·富力盈丰大厦 2室1厅 西南,天河,珠江新城西,102.0,西,2室1厅1卫,9000
整租·万科海上明月 3室2厅 复式 东南,南沙,黄阁,86.15,东,3室2厅2卫,2000
整租·东方名都花园 1室1厅 北,增城,白江,50.32,北,1室1厅1卫,1500
整租·君立国际公寓 3室1厅 南,白云,同和,81.53,南,3室1厅1卫,4140
整租·天河广场 3室1厅 南/西/北,天河,东圃,107.97,南,3室1厅2卫,4300
整租·逢源路 1室0厅 南,荔湾,龙津,30.0,南,1室0厅0卫,5600
